,ORIG_YEAR,LOAN_AGE,ULT_REPURCHASE_LOAN_COUNT,ULT_REPURCHASE_UPB,ULT_ORIG_UPB_AT_TERMINAL,ORIG_LOAN_COUNT,ORIG_UPB,LOAN_AGE_MAX,REPURCHASE_UPB,ORIG_UPB_AT_TERMINAL,CUM_COUNT,CUM_UPB,CUM_ORIG_UPB_AT_TERMINAL,ult_repurch_rate,age_repurch_rate,age_ult_diff,ult_repurch_upb_rate,age_repurch_upb_rate,age_ult_upb_diff,age_repurch_orig_upb_at_terminal_rate
219,1999,31,790.0,50342525.0,68654000.0,159981.0,19096175000.0,240.000000,768147.0,955000.0,331.0,31664251.0,35657000.0,0.494,0.207,0.28700000000000003,0.36,0.166,0.19399999999999998,0.187
220,1999,32,790.0,50342525.0,68654000.0,159981.0,19096175000.0,240.000000,280770.0,513000.0,341.0,31945021.0,36170000.0,0.494,0.213,0.281,0.36,0.167,0.19299999999999998,0.189
221,1999,33,790.0,50342525.0,68654000.0,159981.0,19096175000.0,240.000000,485273.0,1208000.0,356.0,32430294.0,37378000.0,0.494,0.223,0.271,0.36,0.17,0.18999999999999997,0.196
222,1999,34,790.0,50342525.0,68654000.0,159981.0,19096175000.0,240.000000,702355.0,900000.0,364.0,33132649.0,38278000.0,0.494,0.228,0.266,0.36,0.174,0.186,0.2
223,1999,35,790.0,50342525.0,68654000.0,159981.0,19096175000.0,240.000000,876538.0,1653000.0,377.0,34009187.0,39931000.0,0.494,0.236,0.258,0.36,0.178,0.182,0.209
3,1999,36,790.0,50342525.0,68654000.0,159981.0,19096175000.0,240.000000,848567.0,980000.0,386.0,34857754.0,40911000.0,0.494,0.241,0.253,0.36,0.183,0.177,0.214
224,1999,37,790.0,50342525.0,68654000.0,159981.0,19096175000.0,240.000000,331797.0,1210000.0,399.0,35189551.0,42121000.0,0.494,0.249,0.245,0.36,0.184,0.176,0.221
225,1999,38,790.0,50342525.0,68654000.0,159981.0,19096175000.0,240.000000,798146.0,1530000.0,413.0,35987697.0,43651000.0,0.494,0.258,0.236,0.36,0.188,0.172,0.229
226,1999,39,790.0,50342525.0,68654000.0,159981.0,19096175000.0,240.000000,318982.0,460000.0,419.0,36306679.0,44111000.0,0.494,0.262,0.23199999999999998,0.36,0.19,0.16999999999999998,0.231
227,1999,40,790.0,50342525.0,68654000.0,159981.0,19096175000.0,240.000000,419198.0,829000.0,429.0,36725877.0,44940000.0,0.494,0.268,0.22599999999999998,0.36,0.192,0.16799999999999998,0.235
